Hand,E
AC AD AH,0
AC AD AS,0
AC AH AS,0
AC 2C 3C,0
AD AH AS,0
AD 2D 3D,0
AH 2H 3H,0
AS 2S 3S,0
2C 2D 2H,0
2C 2D 2S,0
2C 2H 2S,0
2C 3C 4C,0
2D 2H 2S,0
2D 3D 4D,0
2H 3H 4H,0
2S 3S 4S,0
3C 3D 3H,0
3C 3D 3S,0
3C 3H 3S,0
3C 4C 5C,0
3D 3H 3S,0
3D 4D 5D,0
3H 4H 5H,0
3S 4S 5S,0
4C 4D 4H,0
4C 4D 4S,0
4C 4H 4S,0
4C 5C 6C,0
4D 4H 4S,0
4D 5D 6D,0
4H 5H 6H,0
4S 5S 6S,0
5C 5D 5H,0
5C 5D 5S,0
5C 5H 5S,0
5C 6C 7C,0
5D 5H 5S,0
5D 6D 7D,0
5H 6H 7H,0
5S 6S 7S,0
6C 6D 6H,0
6C 6D 6S,0
6C 6H 6S,0
6C 7C 8C,0
6D 6H 6S,0
6D 7D 8D,0
6H 7H 8H,0
6S 7S 8S,0
7C 7D 7H,0
7C 7D 7S,0
7C 7H 7S,0
7C 8C 9C,0
7D 7H 7S,0
7D 8D 9D,0
7H 8H 9H,0
7S 8S 9S,0
8C 8D 8H,0
8C 8D 8S,0
8C 8H 8S,0
8C 9C TC,0
8D 8H 8S,0
8D 9D TD,0
8H 9H TH,0
8S 9S TS,0
9C 9D 9H,0
9C 9D 9S,0
9C 9H 9S,0
9C TC JC,0
9D 9H 9S,0
9D TD JD,0
9H TH JH,0
9S TS JS,0
TC TD TH,0
TC TD TS,0
TC TH TS,0
TC JC QC,0
TD TH TS,0
TD JD QD,0
TH JH QH,0
TS JS QS,0
JC JD JH,0
JC JD JS,0
JC JH JS,0
JC QC KC,0
JD JH JS,0
JD QD KD,0
JH QH KH,0
JS QS KS,0
QC QD QH,0
QC QD QS,0
QC QH QS,0
QD QH QS,0
KC KD KH,0
KC KD KS,0
KC KH KS,0
KD KH KS,0
2C 2D 3C,12.250000000
2C 2D 3D,12.2500
2C 2H 3C,12.2500
2C 2H 3H,12.2500
2C 2S 3C,12.2500
2C 2S 3S,12.2500
2C 3C 3D,12.2500
2C 3C 3H,12.2500
2C 3C 3S,12.2500
2D 2H 3D,12.2500
2D 2H 3H,12.2500
2D 2S 3D,12.2500
2D 2S 3S,12.2500
2D 3C 3D,12.2500
2D 3D 3H,12.2500
2D 3D 3S,12.2500
2H 2S 3H,12.2500
2H 2S 3S,12.2500
2H 3C 3H,12.2500
2H 3D 3H,12.2500
2H 3H 3S,12.2500
2S 3C 3S,12.2500
2S 3D 3S,12.2500
2S 3H 3S,12.2500
3C 3D 4C,12.2500
3C 3D 4D,12.2500
3C 3H 4C,12.2500
3C 3H 4H,12.2500
3C 3S 4C,12.2500
3C 3S 4S,12.2500
3C 4C 4D,12.2500
3C 4C 4H,12.2500
3C 4C 4S,12.2500
3D 3H 4D,12.2500
3D 3H 4H,12.2500
3D 3S 4D,12.2500
